PR,San Juan,921,18.448962,-66.051579
PR,San Juan,923,18.4102,-66.0365
PR,San Juan,924,18.3977,-66.0113
PR,Carolina,924,18.4088,-66.0131
PR,San Juan,925,18.403255,-66.047909
PR,San Juan,926,18.3588,-66.0594
PR,Trujillo Alto,926,18.37702,-66.055715
PR,San Juan,927,18.3969,-66.102209
PR,San Juan,928,18.362577,-66.071622
PR,Guaynabo,928,18.397617,-66.048334
PR,Dorado,946,0,0
PR,Toa Baja,949,18.444436,-66.254336
PR,Toa Baja,950,18.409143,-66.212042
PR,Toa Baja,951,18.457923,-66.187528
PR,Toa Alta,953,18.35907,-66.258118
PR,Toa Alta,954,18.366098,-66.218219
PR,Bayamon,956,18.3391,-66.1656
PR,San Juan,956,18.3659,-66.1635
PR,Bayamon,957,18.350061,-66.188041
PR,Bayamon,959,18.3911,-66.1589
PR,Bayamon,960,18.387104,-66.150812
PR,Bayamon,961,18.411281,-66.160518
PR,Catano,962,18.42906,-66.13703
PR,Toa Baja,962,18.443251,-66.130487
PR,Cata+//0-o,962,0,0
PR,Catano,962,18.4387,-66.1342
PR,Cata+//0-o,962,18.4387,-66.1342
PR,Catano,963,18.442143,-66.116826
PR,Guaynabo,965,18.4365,-66.1216
PR,Guaynabo,969,18.357974,-66.105148
PR,Bayamon,969,18.367,-66.1043
PR,Guaynabo,970,18.35554,-66.11372
PR,Caguas,970,18.233022,-66.024735
PR,Catano,970,18.355539,-66.113724
PR,Guaynabo,970,18.35499,-66.110889
PR,Caguas,970,18.355539,-66.113724
PR,San Juan,971,18.355539,-66.113724
PR,Guaynabo,971,18.35945,-66.11141
PR,Catano,971,18.301782,-66.086098
PR,Trujillo Alto,976,18.340213,-66.034937
PR,Trujillo Alto,977,18.353353,-66.007195
PR,Carolina,979,18.407294,-65.986311
PR,Trujillo Alto,979,18.435,-66.0144
PR,Canovanas,979,18.433904,-66.011756
PR,Carolina,982,18.406,-65.9882
PR,Carolina,983,18.416687,-65.977816
